direction,corrAns,practice_run_loop.thisRepN,practice_run_loop.thisTrialN,practice_run_loop.thisN,practice_run_loop.thisIndex,first_run_loop.thisRepN,first_run_loop.thisTrialN,first_run_loop.thisN,first_run_loop.thisIndex,second_run_loop.thisRepN,second_run_loop.thisTrialN,second_run_loop.thisN,second_run_loop.thisIndex,thisRow.t,notes,instruction.started,textInstr.started,respInstr.started,instruction.stopped,respInstr.keys,respInstr.rt,respInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,respDots.keys,respDots.rt,respDots.duration,feedback.started,textFeedback.started,textFeedback.stopped,feedback.stopped,instruction_1.started,textSpeedInst.started,respSpeedInstr.started,instruction_1.stopped,respSpeedInstr.keys,respSpeedInstr.rt,respSpeedInstr.duration,backgroundDots.stopped,stimulusDots.stopped,instruction_2.started,textAccuracyInstr.started,respAccuracyInstr.started,instruction_2.stopped,respAccuracyInstr.keys,respAccuracyInstr.rt,respAccuracyInstr.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
left,left,,,,,3,0,6,0,,,,,78.2261470999947,,,,,,,,,78.2101321999944,78.5613774999947,79.36196850000124,79.34562870000082,79.34564050000336,79.36196850000124,79.36196850000124,79.44532040000195,81.66436799999792,left,2.2030393999884836,None,,,,,,,,,,,,80.86327640000673,,,,,,,,,sub-025860,001,2024-03-07_12h50.36.683,random_dot,2023.2.3,59.92042567740819,2024-03-07 12h50.41.780278 +0100,
right,right,,,,,3,1,7,1,,,,,81.68062650000502,,,,,,,,,81.66476719999628,82.46450390000246,83.26353110000491,83.24710760000744,83.24711880000541,83.26353110000491,83.26353110000491,83.34856280000531,84.14991570000711,right,0.7880844000028446,None,,,,,,,,,,,,,,,,,,,,,sub-025860,001,2024-03-07_12h50.36.683,random_dot,2023.2.3,59.92042567740819,2024-03-07 12h50.41.780278 +0100,
left,left,,,,,4,0,8,0,,,,,84.16428470000392,,,,,,,,,84.15034860000014,84.49978969999938,85.30023710000387,85.28371899999911,85.28372970000783,85.30023710000387,85.30023710000387,85.38357890000043,86.11656700000458,left,0.7281687000067905,None,,,,,,,,,,,,,,,,,,,,,sub-025860,001,2024-03-07_12h50.36.683,random_dot,2023.2.3,59.92042567740819,2024-03-07 12h50.41.780278 +0100,
right,right,,,,,4,1,9,1,,,,,86.13427350000711,,,,,,,,,86.1170134999993,86.4678899999999,87.28517170000123,87.26727710000705,87.2672925000079,87.28517170000123,87.28517170000123,87.36861869999848,87.93467679999594,right,0.5596967000019504,None,,,,,,,,,,,,,,,,,,,,,sub-025860,001,2024-03-07_12h50.36.683,random_dot,2023.2.3,59.92042567740819,2024-03-07 12h50.41.780278 +0100,
right,right,,,,,5,0,10,1,,,,,87.95243800000753,,,,,,,,,87.93506309999793,88.73637050000252,89.53545559999475,89.52066199999535,89.52067389999866,89.53545559999475,89.53545559999475,89.63796740000544,90.08626399999775,right,0.44231219998619054,None,,,,,,,,,,,,,,,,,,,,,sub-025860,001,2024-03-07_12h50.36.683,random_dot,2023.2.3,59.92042567740819,2024-03-07 12h50.41.780278 +0100,
left,left,,,,,5,1,11,0,,,,,90.10263560000749,,,,,,,,,90.08665349999501,90.43616130000737,91.2368703999964,91.22209500000463,91.2221070999949,91.2368703999964,91.2368703999964,91.33694409999589,92.15636730000551,left,0.8151967000012519,None,,,,,,,,,,,,,,,,,,,,,sub-025860,001,2024-03-07_12h50.36.683,random_dot,2023.2.3,59.92042567740819,2024-03-07 12h50.41.780278 +0100,
right,right,,,,,6,0,12,1,,,,,92.17258270000457,,,,,,,,,92.15677309999592,92.50624960000277,93.30692980000458,93.29042600000685,93.2904361999972,93.30692980000458,93.30692980000458,93.40701209999679,94.12302600000112,right,0.7130629000021145,None,,,,,,,,,,,,,,,,,,,,,sub-025860,001,2024-03-07_12h50.36.683,random_dot,2023.2.3,59.92042567740819,2024-03-07 12h50.41.780278 +0100,
left,left,,,,,6,1,13,0,,,,,94.14101279999886,,,,,,,,,94.12342780000472,95.32518519999576,96.12583570000425,96.10786469999584,96.10787629999686,96.12583570000425,96.12583570000425,96.20764370000688,97.07526990000042,left,0.8639412999909837,None,,,,,,,,,,,,,,,,,,,,,sub-025860,001,2024-03-07_12h50.36.683,random_dot,2023.2.3,59.92042567740819,2024-03-07 12h50.41.780278 +0100,
left,left,,,,,7,0,14,0,,,,,97.09333530000004,,,,,,,,,97.07565800000157,97.42695249999815,98.22600629999943,98.21123260000604,98.21124340000097,98.22600629999943,98.22600629999943,98.31096350000007,99.36237010000332,left,1.0493060000007972,None,,,,,,,,,,,,,,,,,,,,,sub-025860,001,2024-03-07_12h50.36.683,random_dot,2023.2.3,59.92042567740819,2024-03-07 12h50.41.780278 +0100,
right,right,,,,,7,1,15,1,,,,,99.37871410000662,,,,,,,,,99.36277930000506,100.16089889999421,100.9632522000029,100.9468790999963,100.94689069999731,100.9632522000029,100.9632522000029,101.04657259999658,101.43079529999522,right,0.36940250000043306,None,,,,,,,,,,,,,,,,,,,,,sub-025860,001,2024-03-07_12h50.36.683,random_dot,2023.2.3,59.92042567740819,2024-03-07 12h50.41.780278 +0100,
left,left,,,,,8,0,16,0,,,,,101.44699219999893,,,,,,,,,101.43118490000779,101.77894479999668,102.58115199999884,102.56325310000102,102.56326450000051,102.58115199999884,102.58115199999884,102.66300329999649,103.0304627000005,left,0.35361819999525324,None,,,,,,,,,,,,,,,,,,,,,sub-025860,001,2024-03-07_12h50.36.683,random_dot,2023.2.3,59.92042567740819,2024-03-07 12h50.41.780278 +0100,
right,right,,,,,8,1,17,1,,,,,103.04826440000033,,,,,,,,,103.03085330000613,103.13165359999402,103.94898010000179,103.93265319999773,103.93266429999494,103.94898010000179,103.94898010000179,104.04904440000246,104.66689870000118,right,0.6164308000006713,None,,,,,,,,,,,,,,,,,,,,,sub-025860,001,2024-03-07_12h50.36.683,random_dot,2023.2.3,59.92042567740819,2024-03-07 12h50.41.780278 +0100,
right,right,,,,,9,0,18,1,,,,,104.68305320000218,,,,,,,,,104.66729169999599,105.46692289999919,106.26759820000734,106.25117259999388,106.25118360000488,106.26759820000734,106.26759820000734,106.35098149999976,106.9020126999967,right,0.5372955000057118,None,,,,,,,,,,,,,,,,,,,,,sub-025860,001,2024-03-07_12h50.36.683,random_dot,2023.2.3,59.92042567740819,2024-03-07 12h50.41.780278 +0100,
