direction,corrAns,selected_instruction,practice_run_loop.thisRepN,practice_run_loop.thisTrialN,practice_run_loop.thisN,practice_run_loop.thisIndex,first_run_loop.thisRepN,first_run_loop.thisTrialN,first_run_loop.thisN,first_run_loop.thisIndex,thisRow.t,notes,instruction.started,textInstr.started,respInstr.started,instruction.stopped,respInstr.keys,respInstr.rt,respInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,dots.stopped,respDots.keys,respDots.corr,respDots.rt,respDots.duration,feedback.started,textFeedback.started,textFeedback.stopped,feedback.stopped,instruction_1.started,textInst1.started,respInstr1.started,instruction_1.stopped,respInstr1.keys,respInstr1.rt,respInstr1.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
right,right,None,4,1,9,1,,,,,21.551920100002462,,,,,,,,,21.53564919999917,22.335900000001857,23.13656710000214,23.120199299999513,23.120209200002137,23.13656710000214,23.13656710000214,23.13656710000214,23.387290400001802,left,0,0.2403463999980886,None,23.387548900002002,23.40345789999992,23.90385149999929,23.887489100001403,,,,,,,,sub-024506,001,2024-03-08_16h48.56.487,random_dot,2023.2.3,59.944060204055646,2024-03-08 16h49.02.232683 +0100,
right,right,None,5,0,10,1,,,,,23.90385149999929,,,,,,,,,23.887692300002527,23.987291900000855,24.78788809999969,24.771529900001042,24.771541300000536,24.78788809999969,24.78788809999969,24.78788809999969,24.805058400001144,left,0,0.005232600000454113,None,24.80530870000075,24.821268800002144,25.321684200000163,25.30531390000033,,,,,,,,sub-024506,001,2024-03-08_16h48.56.487,random_dot,2023.2.3,59.944060204055646,2024-03-08 16h49.02.232683 +0100,
left,left,None,5,1,11,0,,,,,25.321684200000163,,,,,,,,,25.305505100001028,26.50602870000148,27.30669040000066,27.290192300002673,27.29020220000166,27.30669040000066,27.30669040000066,27.30669040000066,27.423819300001924,left,1,0.10242929999731132,None,27.4240647000006,27.44013790000099,27.940543299999263,27.924101900000096,,,,,,,,sub-024506,001,2024-03-08_16h48.56.487,random_dot,2023.2.3,59.944060204055646,2024-03-08 16h49.02.232683 +0100,
right,right,None,6,0,12,1,,,,,27.940543299999263,,,,,,,,,27.924395500001992,28.274158100000932,29.07478489999994,29.058353100001113,29.058363300002384,29.07478489999994,29.07478489999994,29.07478489999994,29.292043900000863,left,0,0.20632250000198837,None,29.292285300001822,29.30829939999967,29.808735700000398,29.792314900001656,,,,,,,,sub-024506,001,2024-03-08_16h48.56.487,random_dot,2023.2.3,59.944060204055646,2024-03-08 16h49.02.232683 +0100,
left,left,None,6,1,13,0,,,,,29.808735700000398,,,,,,,,,29.79249820000041,30.14239490000182,30.943036900000152,30.926744899999903,30.926773800001683,30.943036900000152,30.943036900000152,30.943036900000152,30.977015000000392,left,1,0.01857469999958994,None,30.97728339999958,30.993049200002133,31.493489799999224,31.47710720000032,,,,,,,,sub-024506,001,2024-03-08_16h48.56.487,random_dot,2023.2.3,59.944060204055646,2024-03-08 16h49.02.232683 +0100,
left,left,None,7,0,14,0,,,,,31.493489799999224,,,,,,,,,31.477310000002035,32.677802000001975,33.47846560000107,33.461974500001816,33.46198419999928,33.47846560000107,33.47846560000107,33.47846560000107,33.712475399999676,left,1,0.2258081999971182,None,33.71273140000267,33.7286402000027,34.22900920000029,34.212685900001816,,,,,,,,sub-024506,001,2024-03-08_16h48.56.487,random_dot,2023.2.3,59.944060204055646,2024-03-08 16h49.02.232683 +0100,
right,right,None,7,1,15,1,,,,,34.22900920000029,,,,,,,,,34.212883399999555,34.31248980000237,35.11311090000163,35.09687810000105,35.096889100001135,35.11311090000163,35.11311090000163,35.11311090000163,35.397111599999334,left,0,0.2716632000010577,None,35.39736120000089,35.41338420000102,35.913815399999294,35.897383499999705,,,,,,,,sub-024506,001,2024-03-08_16h48.56.487,random_dot,2023.2.3,59.944060204055646,2024-03-08 16h49.02.232683 +0100,
left,left,None,8,0,16,0,,,,,35.913815399999294,,,,,,,,,35.89765140000236,37.0980922000017,37.898752299999614,37.88242060000266,37.882431000001816,37.898752299999614,37.898752299999614,37.898752299999614,37.98268110000208,left,1,0.06969410000237986,None,37.98294250000254,37.99886569999944,38.49927559999924,38.48288870000033,,,,,,,,sub-024506,001,2024-03-08_16h48.56.487,random_dot,2023.2.3,59.944060204055646,2024-03-08 16h49.02.232683 +0100,
right,right,None,8,1,17,1,,,,,38.49927559999924,,,,,,,,,38.48308700000052,39.28327050000007,40.08392230000027,40.06740560000253,40.067415500001516,40.08392230000027,40.08392230000027,40.08392230000027,40.30128590000095,left,0,0.20430910000141012,None,40.301568200000474,40.317461300001014,40.81787500000064,40.8013933000002,,,,,,,,sub-024506,001,2024-03-08_16h48.56.487,random_dot,2023.2.3,59.944060204055646,2024-03-08 16h49.02.232683 +0100,
right,right,None,9,0,18,1,,,,,40.81787500000064,,,,,,,,,40.801576300000306,42.00217920000068,42.802809900000284,42.786502000002656,42.78651280000122,42.802809900000284,42.802809900000284,42.802809900000284,43.1203045000002,left,0,0.3019160000003467,None,43.12056600000142,43.13645589999942,43.636870199999976,43.62050780000209,,,,,,,,sub-024506,001,2024-03-08_16h48.56.487,random_dot,2023.2.3,59.944060204055646,2024-03-08 16h49.02.232683 +0100,
left,left,None,9,1,19,0,,,,,43.636870199999976,,,,,,,,,43.62070610000228,44.82117769999968,45.62179219999962,45.60546670000258,45.60547670000233,45.62179219999962,45.62179219999962,45.62179219999962,45.72231140000076,left,1,0.09893599999850267,None,45.72255280000172,45.73860419999983,46.239010000001144,46.22257670000181,,,,,,,,sub-024506,001,2024-03-08_16h48.56.487,random_dot,2023.2.3,59.944060204055646,2024-03-08 16h49.02.232683 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.2226112999997,46.239010000001144,46.239010000001144,47.757287300002645,space,1.5053466999997909,None,sub-024506,001,2024-03-08_16h48.56.487,random_dot,2023.2.3,59.944060204055646,2024-03-08 16h49.02.232683 +0100,
left,left,None,,,,,0,0,0,0,47.77357850000044,,,,,,,,,47.76143729999967,48.95788639999955,49.75854700000127,49.7421503000005,49.74216040000101,49.75854700000127,49.75854700000127,49.75854700000127,50.09270359999937,left,1,0.3305322000014712,None,,,,,,,,,,,,sub-024506,001,2024-03-08_16h48.56.487,random_dot,2023.2.3,59.944060204055646,2024-03-08 16h49.02.232683 +0100,
right,right,None,,,,,0,1,1,1,50.10888230000273,,,,,,,,,50.09335360000114,51.29318250000142,52.093852900001366,52.07747620000009,52.07748680000077,52.093852900001366,52.093852900001366,52.093852900001366,52.377920599999925,left,0,0.2681492000010621,None,,,,,,,,,,,,sub-024506,001,2024-03-08_16h48.56.487,random_dot,2023.2.3,59.944060204055646,2024-03-08 16h49.02.232683 +0100,
,,,,,,,,,,,52.39406120000058,,,,,,,,,52.37841710000066,53.57842670000173,54.37905840000167,54.362587200001144,54.36259799999971,54.37905840000167,54.37905840000167,54.37905840000167,,,,,,,,,,,,,,,,,,,,,,,,
