direction,corrAns,practice_run_loop.thisRepN,practice_run_loop.thisTrialN,practice_run_loop.thisN,practice_run_loop.thisIndex,first_run_loop.thisRepN,first_run_loop.thisTrialN,first_run_loop.thisN,first_run_loop.thisIndex,second_run_loop.thisRepN,second_run_loop.thisTrialN,second_run_loop.thisN,second_run_loop.thisIndex,thisRow.t,notes,instruction.started,textInstr.started,respInstr.started,instruction.stopped,respInstr.keys,respInstr.rt,respInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,backgroundDots.stopped,dots.stopped,respDots.keys,respDots.rt,respDots.duration,feedback.started,textFeedback.started,feedback.stopped,textFeedback.stopped,instruction_1.started,textSpeedInst.started,respSpeedInstr.started,instruction_1.stopped,respSpeedInstr.keys,respSpeedInstr.rt,respSpeedInstr.duration,instruction_2.started,textAccuracyInstr.started,respAccuracyInstr.started,instruction_2.stopped,respAccuracyInstr.keys,respAccuracyInstr.rt,respAccuracyInstr.duration,goodbye.started,goodbye_text.started,goodbye_text.stopped,goodbye.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
right,right,6,1,13,1,,,,,,,,,34.78670087500359,,,,,,,,,34.78174520799075,34.872253332985565,35.67395033300272,35.66553966599167,35.66556349999155,35.67395033300272,35.67395033300272,35.76503725000657,36.42007854100666,36.8725339579978,right,1.1055022919899784,None,36.87307862500893,36.88188720800099,37.36558633300592,37.37084195800708,,,,,,,,,,,,,,,,,,,df,001,2024-03-08_13h20.46.758,random_dot,2023.2.3,None,2024-03-08 13h21.01.345886 +0100,
right,right,7,0,14,1,,,,,,,,,37.37084195800708,,,,,,,,,37.36602658298216,37.472668915987015,38.27457399998093,38.26578920800239,38.265815416001715,38.27457399998093,38.27457399998093,38.36445399999502,39.02008620798006,39.38258558299276,left,1.0108566249837168,None,39.383107832982205,39.396171125001274,39.88250762500684,39.888082999998005,,,,,,,,,,,,,,,,,,,df,001,2024-03-08_13h20.46.758,random_dot,2023.2.3,None,2024-03-08 13h21.01.345886 +0100,
left,left,7,1,15,0,,,,,,,,,39.888082999998005,,,,,,,,,39.88298991599004,41.0818223329843,41.87396391600487,41.865118499990785,41.86513958298019,41.87396391600487,41.87396391600487,41.96517691598274,42.62003950000508,42.99997849998181,right,1.0333924579899758,None,43.00051225000061,43.00914549999288,43.49910566600738,43.50494250000338,,,,,,,,,,,,,,,,,,,df,001,2024-03-08_13h20.46.758,random_dot,2023.2.3,None,2024-03-08 13h21.01.345886 +0100,
right,right,8,0,16,1,,,,,,,,,43.50494250000338,,,,,,,,,43.499674374994356,43.59831724999822,44.391582665994065,44.3825716660067,44.382600374985486,44.391582665994065,44.391582665994065,44.473491540993564,45.16493904098752,45.25569424999412,right,0.7803728340077214,None,45.256227250007214,45.26767187498626,45.754832165985135,45.765263415989466,,,,,,,,,,,,,,,,,,,df,001,2024-03-08_13h20.46.758,random_dot,2023.2.3,None,2024-03-08 13h21.01.345886 +0100,
left,left,8,1,17,0,,,,,,,,,45.765263415989466,,,,,,,,,45.755319832998794,45.8564366659848,46.65736220800318,46.649094458000036,46.64911904098699,46.65736220800318,46.65736220800318,46.74810245799017,47.40334070799872,47.41601408299175,left,0.6587515409919433,None,47.416442249988904,47.424673582980176,47.91574362499523,47.921600250003394,,,,,,,,,,,,,,,,,,,df,001,2024-03-08_13h20.46.758,random_dot,2023.2.3,None,2024-03-08 13h21.01.345886 +0100,
right,right,9,0,18,1,,,,,,,,,47.921600250003394,,,,,,,,,47.91631487500854,48.71520937499008,49.507859582983656,49.499072332982905,49.499098083004355,49.507859582983656,49.507859582983656,49.59822625000379,50.27055987500353,50.28254333298537,right,0.6805593330063857,None,50.28297479098546,50.29082391600241,50.782371000008425,50.78764912500628,,,,,,,,,,,,,,,,,,,df,001,2024-03-08_13h20.46.758,random_dot,2023.2.3,None,2024-03-08 13h21.01.345886 +0100,
left,left,9,1,19,0,,,,,,,,,50.78764912500628,,,,,,,,,50.78282324998872,51.98127491600462,52.774180457985494,52.76557099999627,52.765595540986396,52.774180457985494,52.774180457985494,52.85615449998295,53.60430033298326,53.80865966598503,right,0.9431108749995474,0.007262166996952146,53.80919170798734,53.81881150000845,54.30505287498818,54.33578270798898,,,,,,,,,,,,,,,,,,,df,001,2024-03-08_13h20.46.758,random_dot,2023.2.3,None,2024-03-08 13h21.01.345886 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.3051455829991,54.33578270798898,54.33578270798898,174.33850524999434,space,119.99820974998875,None,,,,,,,,,,,,df,001,2024-03-08_13h20.46.758,random_dot,2023.2.3,None,2024-03-08 13h21.01.345886 +0100,
left,left,,,,,0,0,0,0,,,,,174.35551837499952,,,,,,,,,174.34717204098706,175.1394620409992,175.94091983299586,175.93211670799064,175.93214641598752,175.94091983299586,175.94091983299586,176.03079141600756,176.71481549998862,176.80790049998905,right,0.7676649579952937,0.006900000007590279,,,,,,,,,,,,,,,,,,,,,,,df,001,2024-03-08_13h20.46.758,random_dot,2023.2.3,None,2024-03-08 13h21.01.345886 +0100,
right,right,,,,,0,1,1,1,,,,,176.81474791598157,,,,,,,,,176.8090087499877,177.60595554098836,178.40684295800747,178.39834858299582,178.39837254100712,178.40684295800747,178.40684295800747,178.49725262500579,179.1645785830042,180.97258208299172,left,2.4692764159990475,None,,,,,,,,,,,,,,,,,,,,,,,df,001,2024-03-08_13h20.46.758,random_dot,2023.2.3,None,2024-03-08 13h21.01.345886 +0100,
