direction,corrAns,practice_run_loop.thisRepN,practice_run_loop.thisTrialN,practice_run_loop.thisN,practice_run_loop.thisIndex,thisRow.t,notes,instruction.started,textInstr.started,respInstr.started,instruction.stopped,respInstr.keys,respInstr.rt,respInstr.duration,ITI.started,fixcross.started,fixcross.stopped,ITI.stopped,dots.started,backgroundDots.started,stimulusDots.started,respDots.started,backgroundDots.stopped,dots.stopped,respDots.keys,respDots.rt,respDots.duration,feedback.started,textFeedback.started,textFeedback.stopped,feedback.stopped,instruction_1.started,participant,session,date,expName,psychopyVersion,frameRate,expStart,
left,left,5,0,10,0,26.366798499999277,,,,,,,,,26.350486499999533,27.150770199999897,27.951398499999414,27.934997000000294,27.93500630000017,27.951398499999414,27.951398499999414,28.034842600000047,,28.352097999999387,right,0.3092430999986391,None,28.35230070000034,28.36844790000032,28.868866799999523,28.852340199999162,,sub-020840,001,2024-03-08_14h30.30.014,random_dot,2023.2.3,59.9052777744474,2024-03-08 14h30.35.051254 +0100,
right,right,5,1,11,1,28.868866799999523,,,,,,,,,28.852524500000072,29.202481700000135,30.003252399999838,29.98666090000006,29.98667099999875,30.003252399999838,30.003252399999838,30.086495800000193,,30.454082700000072,right,0.3529787999996188,None,30.454297000000224,30.470173599998816,30.970606199998656,30.954088899999988,,sub-020840,001,2024-03-08_14h30.30.014,random_dot,2023.2.3,59.9052777744474,2024-03-08 14h30.35.051254 +0100,
left,left,6,0,12,0,30.970606199998656,,,,,,,,,30.95428019999963,31.30421159999969,32.10480429999916,32.08842189999996,32.088431299998774,32.10480429999916,32.10480429999916,32.18823069999962,,32.422159899999315,right,0.22795089999999618,None,32.422359199999846,32.438478699999905,32.93890069999907,32.922410899998795,,sub-020840,001,2024-03-08_14h30.30.014,random_dot,2023.2.3,59.9052777744474,2024-03-08 14h30.35.051254 +0100,
right,right,6,1,13,1,32.93890069999907,,,,,,,,,32.92259919999924,33.02225229999931,33.822876899999756,33.80652790000022,33.80653700000039,33.822876899999756,33.822876899999756,33.90636110000014,,34.57413079999969,right,0.653089400000681,None,34.57434920000014,34.59021159999975,35.09060169999975,35.07422419999966,,sub-020840,001,2024-03-08_14h30.30.014,random_dot,2023.2.3,59.9052777744474,2024-03-08 14h30.35.051254 +0100,
right,right,7,0,14,1,35.09060169999975,,,,,,,,,35.07443330000024,35.174025500000425,35.97474329999932,35.958413099999234,35.95842409999932,35.97474329999932,35.97474329999932,36.05809810000028,,36.40948910000043,right,0.350406200001089,None,36.409700500000326,36.425170000000435,36.92552049999904,36.90913790000013,,sub-020840,001,2024-03-08_14h30.30.014,random_dot,2023.2.3,59.9052777744474,2024-03-08 14h30.35.051254 +0100,
left,left,7,1,15,0,36.92552049999904,,,,,,,,,36.909337299999606,38.10978739999882,38.91049319999911,38.893999500000064,38.89401089999956,38.91049319999911,38.91049319999911,38.993861599999946,,39.29457170000023,right,0.2937538999995013,None,39.29477009999937,39.3108271000001,39.81121019999955,39.79474149999987,,sub-020840,001,2024-03-08_14h30.30.014,random_dot,2023.2.3,59.9052777744474,2024-03-08 14h30.35.051254 +0100,
right,right,8,0,16,1,39.81121019999955,,,,,,,,,39.79492819999905,40.995502199999464,41.79622219999874,41.77977069999906,41.77978019999864,41.79622219999874,41.79622219999874,41.879582100000334,,41.896683299999495,right,0.0010942999997496372,None,41.89693409999927,41.91292479999902,42.41336179999962,42.39689460000045,,sub-020840,001,2024-03-08_14h30.30.014,random_dot,2023.2.3,59.9052777744474,2024-03-08 14h30.35.051254 +0100,
left,left,8,1,17,0,42.41336179999962,,,,,,,,,42.39707759999874,42.49688909999895,43.29744790000041,43.281115199999476,43.281124699999054,43.29744790000041,43.29744790000041,43.380865499999345,,43.6482462999993,right,0.25115790000018023,None,43.64846799999941,43.66441499999928,44.16479269999945,44.14839099999881,,sub-020840,001,2024-03-08_14h30.30.014,random_dot,2023.2.3,59.9052777744474,2024-03-08 14h30.35.051254 +0100,
right,right,9,0,18,1,44.16479269999945,,,,,,,,,44.14859559999968,44.94875449999927,45.74948359999871,45.73300079999899,45.733010099998864,45.74948359999871,45.74948359999871,45.832842300000266,,46.0007614999995,right,0.1668680000002496,None,46.00097160000041,46.016359100000045,46.51678379999976,46.50042199999916,,sub-020840,001,2024-03-08_14h30.30.014,random_dot,2023.2.3,59.9052777744474,2024-03-08 14h30.35.051254 +0100,
left,left,9,1,19,0,46.51678379999976,,,,,,,,,46.50062769999931,46.60013609999987,47.40081399999872,47.384423499999684,47.38443449999977,47.40081399999872,47.40081399999872,47.48420549999901,,47.91838359999929,right,0.4283865000015794,None,47.918585899999016,47.93461579999894,,48.41863039999953,,sub-020840,001,2024-03-08_14h30.30.014,random_dot,2023.2.3,59.9052777744474,2024-03-08 14h30.35.051254 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.41866569999911,,,,,,,,
